NAME,TEXT,ROLE,SENTIMENT
<Arthur-Conciliateur>," mais arrêter c'est exessif la vous aimeriez etre a sa place et qu'on vous dises la meme chose ?! Non,  parce que personne ne mérite ca ",conciliator,NEG
<Elodie-Soutien-Harceleur>,ouais arthur xsh t sah,bully_support,NEG
<Anna-Soutien-Harceleur>,mais grave putain c chaud,bully_support,NEG
<Julie-Victime>," allo le viol c'est pas une blague grosse bouffonne,  va falloir avoir des valeurs un peu là un minimum",victim,NEG
<Marie-Soutien-Victime>,laissé la tranquille elle a le droit d'aimer qui elle veut,victim_support,POS
<Elodie-Soutien-Harceleur>,c une blague les gens qui retournent leur veste la tous des hypocrites la,bully_support,NEG
<Anna-Soutien-Harceleur>,mais grave que des traitres,bully_support,NEG
<Elodie-Soutien-Harceleur>,on est pas de fucking monde,bully_support,NEG
<Julie-Victime>," si vous ne disiez pas n'importe quoi aussi,  les gens seraient peut-êtr eun peu avec vous",victim,NEG
<Anna-Soutien-Harceleur>,ptddddrrrrrrr mais la blague,bully_support,NEG
<Elodie-Soutien-Harceleur>,rien a foutre PAS DE GOUINE ICI,bully_support,NEG
<Emilie-Harceleur>,bande de crasseux meme arthur on va te degager de la classe,bully,NEG
<Julie-Victime>," mais vous allez trop loin,  vous dites n'importes quoi alors vous méritez les deux connasses",victim,NEG
<Anna-Soutien-Harceleur>,on va pas de sa iciiiii merde,bully_support,NEG
<Emilie-Harceleur>,STOP LESBIENNES !!!!,bully,NEG
<Anna-Soutien-Harceleur>,DEHORSSSSS,bully_support,NEG
<Emilie-Harceleur>,tchaoooooo,bully,NEG
<Julie-Victime>,allez-y dégagez nous vous allez faire quoi ?,victim,NEG
<Julie-Victime>,c'est les homophobes qu'on dégage pas nous,victim,NEG
