NAME,TEXT,ROLE,SENTIMENT
coralie,paul et leo vous etes vraiment fatiguant c'est aberrant avec vos tete de teub,victim_support,NEG
@FatimahVictime,S'il te plaît Julie !,victim,NEU
leo77,toi dans la tete dans des teub,bully_support,NEG
@FatimahVictime,Arrête tes blagues !,victim,NEG
leo77,ta la,bully_support,NEU
@FatimahVictime,Je suis pas grosse,victim,NEU
leo77,t'es obese,bully_support,NEG
@FatimahVictime,FAT = grosse,victim,NEU
julie20,tg avec ta tete d'immigré,bully,NEG
leo77,ta manger trop de bite,bully_support,NEG
Paul72,normal un singe ça bouffe des teub,bully_support,NEG
coralie,c'est toi le singe,victim_support,NEG
leo77,faut doser sur le couscous,bully_support,NEG
coralie,t'es meme un chien,victim_support,NEG
julie20,*retourne manger tes bananes,bully,NEG
Paul72,les merguez t'en prends pas que dans la bouche,bully_support,NEG
coralie,julie tu pu le seum parce qu'elle est belle,victim_support,NEG
@FatimahVictime,"Julie, arrête maintenant",victim,NEU
coralie,julie20 ta trop la rage,victim_support,NEU
julie20,et toi tu pu...,bully,NEG
@FatimahVictime,T'as pas besoin d'être jalouse,victim,NEU
leo77,salam,bully_support,NEU
@FatimahVictime,je ne vais pas te voler ton petit ami car t'en n'as pas!,victim,NEG
coralie,ptdr ta aucune chance,victim_support,NEG
Paul72,coralie porte parole de la boulémi,bully_support,NEG
leo77,envoie ton snap,bully_support,NEU
coralie,tema c'est chien,victim_support,NEG
coralie,julie elle pu le seum parce que fatima elle est 20 fois mieux qu'elle,victim_support,NEG
leo77,fatimah elle est 20fois plus grosse qu'elle,bully_support,NEG
leo77,va la mosquée grosse folle,bully_support,NEG
leo77,ta trop la rage,bully_support,NEU
@FatimahVictime,Julie c'est avec toi que ça se passe,victim,NEU
Paul72,Fatigras,bully_support,NEG
coralie,leo toi t'es vraiment comme les autres,victim_support,NEG
julie20,va bouffer ton couscous,bully,NEG
@FatimahVictime,maintenant promets moi que tu vas arrêter,victim,POS
coralie,"mais developppe change tesz argume,ts",victim_support,NEU
julie20,non tg,bully,NEG
coralie,grosse merde,victim_support,NEG
leo77,on va pas arreter c que le debut on va t'harceler toute la vie on va venir devant chez toi on va te bz,bully_support,NEG
coralie,#une pensé pour paul le con,victim_support,NEG
julie20,t'as cas crever,bully,NEG
coralie,biienn suuur,victim_support,NEU
Paul72,au pire tu veux pas rentrer chez toi et cassez les couilles a ta famille,bully_support,NEG
@FatimahVictime,Je me sens pas bien quand vous faîtes ça..,victim,NEG
leo77,coralie sa se voit c un modo discord,bully_support,NEU
coralie,leo77 t'es un squellette frerot tu vas rien faire c'est quoi ca ? modo ?,victim_support,NEG
Paul72,si il te soulève il est fort,bully_support,NEG
coralie,non,victim_support,NEU
leo77,bahaha va faire du sport,bully_support,NEG
coralie,il touche personne,victim_support,NEG
leo77,coralie elle a le sida,bully_support,NEG
julie20,fatima ça fait quoi de pas pouvoir rentrer chez soi ??,bully,NEG
coralie,leo77 ?? c'est quoi ces argument aclater,victim_support,NEG
@FatimahVictime,"STOP PAUL ! STOP LEO ! ET JULIE, on va régler ça en FACE2FACE j'en peux PLUS !",victim,POS
leo77,viens en sorrt,bully_support,NEU
Paul72,Hitler il était pas si mauvais il s'est juste tromper de cible,bully_support,NEG
@FatimahVictime,C'EST HORRIBLE C'QUE TU DIS PAUL!,victim,NEG
Paul72,les arabes,bully_support,NEG
coralie,qu'est ce qui raconte lui,victim_support,NEU
julie20,non c'est fatima qui a le sida a force de se faire pin,bully,NEG
leo77,nique les bougnoules,bully_support,NEG
@FatimahVictime,IL AURAIT DU T'EXTERMINER !,victim,NEG
Paul72,les boukak les melons,bully_support,NEG
leo77,les singes,bully_support,NEG
Paul72,c'est ciao,bully_support,NEG
julie20,good by,bully,NEG
leo77,tu t'es suicidé,bully_support,NEG
leo77,j'espere en tout cas,bully_support,NEG
julie20,ça fera de la place,bully,NEG
@FatimahVictime,"Sincèrement, je peux plus dormir la nuit avec vos horreurs !",victim,NEG
Paul72,tu sais ce qui separe les animaux des humains ? la mer méditerranné,bully_support,NEG
@FatimahVictime,Vous n'avez aucune pitié ça m'affecte beaucoup,victim,NEG
julie20,ba rentre chez toi,bully,NEG
julie20,a la nage,bully,NEG
coralie,Paul72 tu fais trop de bruit on les entends moins les bolosses,victim_support,NEG
@FatimahVictime,"Heureusement que je sais nager Julie, contrairement à toi....",victim,NEG
coralie,et bim,victim_support,NEU
leo77,ferme ta gueule jvais te faire bouffer ma bite,bully_support,NEG
coralie,oui,victim_support,NEU
Paul72,ferme ton fiac on arrive pas a s'entendre,bully_support,NEG
coralie,comme d'hab,victim_support,NEU
@FatimahVictime,C'était tellement drôle de voir dans l'eau au dernier cours de natation !,victim,NEG
leo77,coralie c'est une obese qui baise,bully_support,NEG
@FatimahVictime,Donc viens pas me chercher sur ce terrain !,victim,NEU
julie20,ces les singes qui savent pas nager,bully,NEG
coralie, la merde ca sort par le cul et pas par la bouche leo77 et Paul72 ;P,victim_support,NEG
Paul72,t'as déjà vu un noir d'en l'eau il coule,bully_support,NEG
leo77,coralie j vais tellement t'neculer qu'on va retrouver du petrole dans ton cul enculer,bully_support,NEG
@FatimahVictime,"Leo et Paul, vous n'êtes que des diarrhées verbales !",victim,NEG
julie20,C fat quand elle nage,bully,NEG
@FatimahVictime,Julie stp stop,victim,POS
coralie,leo77 tu pourra pas me toucher avec ton chbrax de 2cm,victim_support,NEG
leo77,tgg,bully_support,NEG
julie20,et toi juste une diarrhé,bully,NEG
leo77,"j ai une ak 47 dans le caleco,",bully_support,NEG
coralie,aller c'est ciao les noobs jme tire,victim_support,NEG
@FatimahVictime,Julie stp arrête maintenant !,victim,POS
julie20,bonsoir non,bully,NEG
Paul72,ta natation c'est dans la mer noire,bully_support,NEG
